product_id,product_name,pdf_file,page,status
AC-001,Axis Chair,technical-sheets.pdf,1,DEMONSTRATION - VERIFY
AC-002,Contour Armchair,technical-sheets.pdf,2,DEMONSTRATION - VERIFY
AC-003,Frame Sofa,technical-sheets.pdf,3,DEMONSTRATION - VERIFY
AC-004,Grid Bench,technical-sheets.pdf,4,DEMONSTRATION - VERIFY
AC-005,Arc Stool,technical-sheets.pdf,5,DEMONSTRATION - VERIFY
AC-006,Line Table,technical-sheets.pdf,6,DEMONSTRATION - VERIFY
AC-007,Span Desk,technical-sheets.pdf,7,DEMONSTRATION - VERIFY
AC-008,Node Meeting Table,technical-sheets.pdf,8,DEMONSTRATION - VERIFY
AC-009,Plane Coffee Table,technical-sheets.pdf,9,DEMONSTRATION - VERIFY
AC-010,Core Side Table,technical-sheets.pdf,10,DEMONSTRATION - VERIFY
AC-011,Block Cabinet,technical-sheets.pdf,11,DEMONSTRATION - VERIFY
AC-012,Rail Shelf,technical-sheets.pdf,12,DEMONSTRATION - VERIFY
AC-013,Module Wardrobe,technical-sheets.pdf,13,DEMONSTRATION - VERIFY
AC-014,Vector Credenza,technical-sheets.pdf,14,DEMONSTRATION - VERIFY
AC-015,Index Locker,technical-sheets.pdf,15,DEMONSTRATION - VERIFY
AC-016,Rest Bed,technical-sheets.pdf,16,DEMONSTRATION - VERIFY
AC-017,Halo Headboard,technical-sheets.pdf,17,DEMONSTRATION - VERIFY
AC-018,Stay Nightstand,technical-sheets.pdf,18,DEMONSTRATION - VERIFY
AC-019,Porter Luggage Rack,technical-sheets.pdf,19,DEMONSTRATION - VERIFY
AC-020,Nook Banquette,technical-sheets.pdf,20,DEMONSTRATION - VERIFY
AC-021,Gate Reception,technical-sheets.pdf,21,DEMONSTRATION - VERIFY
AC-022,Point Lectern,technical-sheets.pdf,22,DEMONSTRATION - VERIFY
AC-023,Fold Partition,technical-sheets.pdf,23,DEMONSTRATION - VERIFY
AC-024,Beam Media Unit,technical-sheets.pdf,24,DEMONSTRATION - VERIFY
AC-025,Terrace Chair,technical-sheets.pdf,25,DEMONSTRATION - VERIFY
AC-026,Terrace Table,technical-sheets.pdf,26,DEMONSTRATION - VERIFY
AC-027,Clinic Cabinet,technical-sheets.pdf,27,DEMONSTRATION - VERIFY
AC-028,Study Desk,technical-sheets.pdf,28,DEMONSTRATION - VERIFY
AC-029,Canteen Bench,technical-sheets.pdf,29,DEMONSTRATION - VERIFY
AC-030,Quiet Pod,technical-sheets.pdf,30,DEMONSTRATION - VERIFY
