product_id,product_name,revit,dwg,sketchup,status
AC-001,Axis Chair,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-002,Contour Armchair,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-003,Frame Sofa,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-004,Grid Bench,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-005,Arc Stool,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-006,Line Table,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-007,Span Desk,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-008,Node Meeting Table,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-009,Plane Coffee Table,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-010,Core Side Table,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-011,Block Cabinet,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-012,Rail Shelf,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-013,Module Wardrobe,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-014,Vector Credenza,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-015,Index Locker,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-016,Rest Bed,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-017,Halo Headboard,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-018,Stay Nightstand,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-019,Porter Luggage Rack,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-020,Nook Banquette,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-021,Gate Reception,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-022,Point Lectern,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-023,Fold Partition,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-024,Beam Media Unit,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-025,Terrace Chair,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-026,Terrace Table,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-027,Clinic Cabinet,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-028,Study Desk,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-029,Canteen Bench,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
AC-030,Quiet Pod,planned,planned,planned,DEMONSTRATION INDEX - NO GEOMETRY INCLUDED
